eventID,specificEpithet,scientificName,scientificNameID,scientificAuthorityName,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus,preservation
IYS2019-Kaganovsky-1-1,NA,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,"Dana, 1850",egg,NA,Family,accepted,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,IYS2019-Kaganovsky-1-1-zoop_occ-21,present,formalin
IYS2019-Kaganovsky-1-1,NA,Halocyprididae,urn:lsid:marinespecies.org:taxname:127482,"Dana, 1853",<0.5mm,NA,Family,accepted,sp. indet.,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,NA,IYS2019-Kaganovsky-1-1-zoop_occ-22,present,formalin
IYS2019-Kaganovsky-1-1,NA,Heterostylites,urn:lsid:marinespecies.org:taxname:104179,"Sars G.O., 1920",C2,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Heterorhabdidae,Heterostylites,IYS2019-Kaganovsky-1-1-zoop_occ-23,present,formalin
IYS2019-Kaganovsky-1-1,helicina,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,"(Phipps, 1774)",NA,NA,Species,accepted,NA,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,IYS2019-Kaganovsky-1-1-zoop_occ-24,present,formalin
IYS2019-Kaganovsky-1-1,pacifica,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,"Brodsky, 1950",C4,NA,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,IYS2019-Kaganovsky-1-1-zoop_occ-25,present,formalin
IYS2019-Kaganovsky-1-1,pacifica,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,"Brodsky, 1950",C5,NA,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,IYS2019-Kaganovsky-1-1-zoop_occ-26,present,formalin
IYS2019-Kaganovsky-1-1,pacifica,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,"Brodsky, 1950",C6,M,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,IYS2019-Kaganovsky-1-1-zoop_occ-27,present,formalin
IYS2019-Kaganovsky-1-1,NA,Metridia,urn:lsid:marinespecies.org:taxname:104190,"Boeck, 1865",C2,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,IYS2019-Kaganovsky-1-1-zoop_occ-28,present,formalin
IYS2019-Kaganovsky-1-1,NA,Metridia,urn:lsid:marinespecies.org:taxname:104190,"Boeck, 1865",C3,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,IYS2019-Kaganovsky-1-1-zoop_occ-29,present,formalin
IYS2019-Kaganovsky-1-1,NA,Metridia,urn:lsid:marinespecies.org:taxname:104190,"Boeck, 1865",C1,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,IYS2019-Kaganovsky-1-1-zoop_occ-30,present,formalin
IYS2019-Kaganovsky-1-1,C1,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,"Sars G.O., 1925",NA,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-31,present,formalin
IYS2019-Kaganovsky-1-1,C2,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,"Sars G.O., 1925",NA,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-32,present,formalin
IYS2019-Kaganovsky-1-1,C3,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,"Sars G.O., 1925",NA,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-33,present,formalin
IYS2019-Kaganovsky-1-1,atlantica,Oithona atlantica,urn:lsid:marinespecies.org:taxname:106642,"Farran, 1908",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,IYS2019-Kaganovsky-1-1-zoop_occ-34,present,formalin
IYS2019-Kaganovsky-1-1,similis,Oithona similis,urn:lsid:marinespecies.org:taxname:106656,"Claus, 1866",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,IYS2019-Kaganovsky-1-1-zoop_occ-35,present,formalin
IYS2019-Kaganovsky-1-1,NA,Oithona,urn:lsid:marinespecies.org:taxname:106485,"Baird, 1843",C5,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,IYS2019-Kaganovsky-1-1-zoop_occ-36,present,formalin
IYS2019-Kaganovsky-1-1,indicus,Paracalanus indicus,urn:lsid:marinespecies.org:taxname:104683,"Wolfenden, 1905",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,IYS2019-Kaganovsky-1-1-zoop_occ-37,present,formalin
