eventID,lifeStage,sex,scientificName,scientificNameID,identificationQualifier,kingdom,phylum,class,order,family,genus,scientificNameAuthorship,taxonRank,taxonomicStatus,occurrenceRemarks,occurrenceID,occurrenceStatus,preparations,vernacularName,specificEpithet,reproductiveCondition,basisOfRecord
IYS:GoA2020:StnP PRIME:bongo:Net1,C4,NA,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,"(Lilljeborg, 1853)",Species,alternate representation,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:17,present,Formalin,NA,longiremis,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,F,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,"(Lilljeborg, 1853)",Species,alternate representation,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:18,present,Formalin,NA,longiremis,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C4,NA,Aetideus divergens,urn:lsid:marinespecies.org:taxname:346076,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Aetideus,"Bradford, 1971",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:19,present,Formalin,NA,divergens,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C5,F,Aetideus divergens,urn:lsid:marinespecies.org:taxname:346076,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Aetideus,"Bradford, 1971",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:20,present,Formalin,NA,divergens,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C4,NA,Calanus marshallae,urn:lsid:marinespecies.org:taxname:196770,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,"Frost, 1974",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:21,present,Formalin,NA,marshallae,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C1,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,"Leach, 1816",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:22,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C2,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,"Leach, 1816",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:23,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C3,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,"Leach, 1816",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:24,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,juvenile,NA,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,sp. indet.,Animalia,Chaetognatha,NA,NA,NA,NA,NA,Phylum,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:25,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,F,Clausocalanus parapergens,urn:lsid:marinespecies.org:taxname:104507,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,"Frost & Fleminger, 1968",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:26,present,Formalin,NA,parapergens,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,M,Clausocalanus parapergens,urn:lsid:marinespecies.org:taxname:104507,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,"Frost & Fleminger, 1968",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:27,present,Formalin,NA,parapergens,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C4,NA,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,"Giesbrecht, 1888",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:28,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C5,NA,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,"Giesbrecht, 1888",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:29,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,NA,NA,Conchoecia spinirostris,urn:lsid:marinespecies.org:taxname:183092,sp. indet.,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecia,NA,Species,unaccepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:30,present,Formalin,NA,spinirostris,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C3,NA,Ctenocalanus,urn:lsid:marinespecies.org:taxname:104162,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Ctenocalanus,"Giesbrecht, 1888",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:31,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,F,Ctenocalanus vanus,urn:lsid:marinespecies.org:taxname:104510,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Ctenocalanus,"Giesbrecht, 1888",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:32,present,Formalin,NA,vanus,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C5,NA,Ctenocalanus vanus,urn:lsid:marinespecies.org:taxname:104510,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Ctenocalanus,"Giesbrecht, 1888",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:33,present,Formalin,NA,vanus,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C4,NA,Ctenocalanus vanus,urn:lsid:marinespecies.org:taxname:104510,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Ctenocalanus,"Giesbrecht, 1888",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:34,present,Formalin,NA,vanus,NA,PreservedSpecimen
